question,options,answer,solution
 Q.1. Which is the most widely accepted model to explain the formation and evaluation of the solar system? SSC CPO 03/10/2023 (Morning) ,"['(a) Cloud hypothesis ', '(b) Gas hypothesis ', '(c) Nebular hypothesis ', '(d) Solar hypothesis ']",(c) Nebular hypothesis ,"Sol.1.(c) Nebular hypothesis - The planets were formed out of a cloud of material associated with a youthful sun, which was slowly rotating. The theory was developed by Immanuel Kant. But Mathematician Laplace revised it in 1796. Other Hypothesis: Big Bang Theory - Propounded by George Lamaitre related to the origin of the universe ."
 Q.2. Terrestrial planets are composed of______. SSC CPO 03/10/2023 (Evening) ,"['(a) metals and air ', '(b) rocks and metals ', '(c) metals and gas ', '(d) rocks and gas ']",(b) rocks and metals ,"Sol.2.(b) Rocks and metals. Terrestrial Planets - Mercury, Venus (Earth’s sister planet), Earth and Mars. They are categorised into the following: Silicate Planets, Iron Planets, Coreless Planets, Carbon (diamond) Planets. Saturn, Jupiter, Uranus and Neptune are called Jovian Planets because of their large size (Jovian is named after Jupiter) and their hydrogen content."
 Q.3. Which trend is found about the distance between the galaxies? SSC CPO 04/10/2023 (Evening) ,"['(a) Unpredictable ', '(b) Decreasing ', '(c) Constant ', '(d) Increasing ']",(d) Increasing ,"Sol.3.(d) Increasing. In 1929, Edwin Hubble announced that almost all galaxies appeared to be moving away from us. He found that the universe was expanding - with all of the galaxies moving away from each other. This phenomenon was observed as a redshift of a galaxy's spectrum."
" Q.4. On which planet has a rotating oval of clouds, twice as wide as Earth, called the 'Great Red Spot' been observed for more than 300 years ? SSC CHSL 08/08/2023 (1st shift) ","['(a) Neptune ', '(b) Mercury ', '(c) Jupiter ', '(d) Venus ']",(c) Jupiter ,Sol.4.(c) Jupiter is the largest planet in the solar system. It is made mostly of hydrogen and helium. Number of Moons - 95. Neptune - It is the only planet in our solar system not visible to the naked eye. It has 14 Moons.
 Q.5. Which scientist thought of the concept of the steady state of the universe? SSC CGL 14/07/2023 (1st shift) ,"['(a) Harold Jeffrey ', '(b) Edwin Hubble ', '(c) Fred Hoyle ', '(d) Pierre - Laplace ']",(c) Fred Hoyle ,"Sol.5.(c) Fred Hoyle. Steady-State Theory : It is a theoretical model i n which the U niverse is constantly expanding but with a fixed average density. The theory was put forward by three scientists (1948) : Sir Hermann Bondi, Thomas Gold, and Sir Fred Hoyle."
" Q.6. From the given alternatives, identify the dwarf planet. Higher Secondary 30/06/2023 ( Shift - 2) ","['(a) Pluto ', '(b) Mercury ', '(c) Neptune ', '(d) Mars ']",(a) Pluto ,"Sol.6.(a) Pluto. The five dwarf planets are Ceres, Pluto, Makemake, Haumea, and Eris. A dwarf planet is a celestial body that is in orbit around the Sun and has enough mass to be roughly round in shape."
" Q.7. Which among the following planets is also known as ""morning star""? SSC MTS 10/05/2023 (Evening) ","['(a) Jupiter ', '(b) Neptune ', '(c) Venus ', '(d) Earth ']",(c) Venus ,Sol.7.(c) Venus - The second planet closest to the sun. It is also called Earth’s twin sister because it is similar in size and density as of the Earth. It is also known a s Morning and Evening Star. It rotates from east to west i.e. in clockwise direction. It does not have its own natural satellite.
" Q.8. Cosmic snowballs of frozen gases, rock and dust that orbit the Sun are known as_______. SSC MTS 16/05/2023 (Morning) ","['(a) Meteors ', '(b) Star ', '(c) Meteorites ', '(d) Comets ']",(d) Comets ,Sol.8.(d) Comets. Meteors are bits of rock and ice that are ejected from comets as they move in their orbits about the Sun. Meteorite - Asteroids after the collision are known as a meteorite. usually originate from the asteroid belt between Mars and Jupiter.
 Q.9. Which among the following is the coldest planet in the solar system? SSC MTS 16/05/2023 (Evening) ,"['(a) Mars ', '(b) Neptune ', '(c) Saturn ', '(d) Uranus ']",(d) Uranus ,Sol.9.(d) Uranus. Neptune is the second coldest planet. Venus is the hottest planet of all eight planets.
 Q.10. The Kuiper Belt is a ring of icy rocks & dust bodies just outside the orbit of___. SSC MTS 17/05/2023 (Afternoon) ,"['(a) Saturn ', '(b) Venus ', '(c) Jupiter ', '(d) Neptune ']",(d) Neptune ,Sol.10.(d) Neptune - Farthest-known planet from the Sun. R otation on its axis - 16 hours. Revolution - 165 Earth years. Size - 17 times the mass of E arth. Moons - 14. Natural satellite - Triton (largest moon). Only a planet which i s invisible to the naked eye.
