question,options,answer,solution
" Q.1. Select the correct alternative of the basis of the given statements on the drainage system of the Harappan civilisation. Statement I: In most of the Harappan cities, the houses had open drainage systems outside. Statement II: In the Harappan civilisation, water and garbage used to drain out from the drains located outside the houses and go into the main underground drain. SSC Stenographer 12/10/2023 (Morning) ","['(a) Only Statement I is true. ', '(b) Both Statement I and Statement II are true. ', '(c) Only Statement II is true. ', '(d) Neither Statement I nor Statement II is true. ']",(c) Only Statement II is true. ,"Sol.1.(c) Only Statement II is true. Drainage System of Harappan cities: There were covered drains on both sides of the streets. Streets with drains were laid out first and then houses built along them. If domestic wastewater had to flow into the street drains, every house needed to have at least one wall along a street."
 Q.2. Select the correct alternative on the basis of the given statements on the cities of Harappan civilisation. Statement I: Most of t he Harappan cities were divided into two parts: Higher Town and Lower Town. Statement II: The archaeologists describe the lower part of the towns as Citadel. SSC Stenographer 12/10/2023 (Afternoon) ,"['(a) Both Statement I and Statement II are t rue. ', '(b) Only Statement II is true. ', '(c) Only Statement I is true ', '(d) Neither Statement I nor Statement II is true. ']",(c) Only Statement I is true ,"Sol.2.(c) Only Statement I is true. The Harappan civilization was one of the oldest civilizations in the world. It flourished in the Indus River Valley region from around 2500 - 1500 BC. Harappan civilization: Excavated by - Daya Ram Sahni in 1921. Location - Situated on the bank of river Ravi in Punjab (Pakistan). Important Findings - Granaries, Bullock carts, Coffin burial, Mother goddess."
 Q.3. Fire altars were found in which of the following groups of Harappan cities? SSC Stenographer 13/10/2023 (Afternoon) ,"['(a) Kalibangan and Lothal ', '(b) Banawali and Chanhudaro ', '(c) Mohenjo-Daro and Harappa ', '(d) Mohenjo-Daro and Dholavira ']",(a) Kalibangan and Lothal ,"Sol.3.(a) Kalibangan and Lothal. Findings of different Indus valley civilization sites: Kalibangan - Lower fortified town, Boustrophedon style, Wooden drainage, Copper Ox, Evidence of earthquake, Wooden plough, Camel’s bone. Lothal - Port Town, Evidence of Rice, Graveyard, Ivory scale, Copper dog. Mohenjo-Daro - Prepared Garments, Temple-like Palace, Pashupati seal, Statue of a dancing girl, The Great Bath, The Great Granary etc."
" Q.4. Select the correct alternative on the basis of the given statements on the Great Bath of Harappan civilization. Statement I: T he Great Bath was f ound i n Mohenjo-Daro site of Harappan civilisation. Statement II: The Great Bath was lined with bricks, coated with plaster and made water-tight with a layer of natural tar. SSC Stenographer 13/10/2023 (Evening) ","['(a) Neither Statement I nor Statement II is true. ', '(b) Both Statement I and Statement II are true. ', '(c) Only Statement I is true. ', '(d) Only Statement II is true. ']",(b) Both Statement I and Statement II are true. ,Sol.4.(b) Mohenjo Daro is an archaeological site in the Sindh province of Pakistan. The meaning of Mohenjo Daro is The mound of the dead. It was discovered in 1922 by RD Banerjee. It was developed around 3000 BCE and it was the largest c ity of the ancient Indus Valley Civilization.
 Q.5. Mohenjodaro site of Harappan civilization is situated on the bank of which river ? SSC CPO 04/10/2023 (Afternoon) ,"['(a) Ghaghara river ', '(b) Beas river ', '(c) Jhelum river ', '(d) Indus river ']",(d) Indus river ,"Sol.5.(d) Indus river. List of Harappan civilisation and its location on River: Harappa (Ravi river), Lothal (Bhogava river), Kalibangan (Ghaggar River), Amri (Indus river), Chanhudaro (Indus river), Suktagendor (Dast river)."
 Q.6. Which of the following statements is true about the Great Bath of the Indus Valley Civilisation ? SSC MTS 08/09/2023 (3rd Shift) ,"['(a) It was used for grain storage. ', '(b) It was used for farming. ', '(c) It was used as the water tank of the city. ', '(d) It was probably used for religious purpose. ']",(c) It was used as the water tank of the city. ,"Sol.6.(c) "" Great bath "" is a public water tank located in Mohenjo Daro (Pakistan). It was a large rectangular tank in a courtyard surrounded by a corridor on all four sides. There were two flights of steps on the north and south leading into the tank, which was made watertight by setting bricks on edge and using a mortar of gypsum. There were rooms on three sides, in one of which was a large well."
 Q.7. Which of the following Indus Valley sites is now located in Pakistan ? SSC MTS 11/09/2023 (1st Shift) ,"['(a) Harappa ', '(b) Lothal ', '(c) Alamgirpur ', '(d) Kalibangan ']",(a) Harappa ,"Sol.7.(a) Harappa. The Indus valley civilization (Bronze Age) is also called the Harappan culture. Other Important Sites : H arappa ( river Ravi) - Excavated by Daya Ram Sahini in 1921, Mohenjodaro (Mound of Dead, river Indus) - Excavated by R.D Banerjee in 1922; Sutkagendor (Dast river, Balochistan); Chanhudaro (Pakistan, Indus river); Kalibangan (Rajasthan, Ghaggar river); Lothal (Gujarat, Bhogva river); Alamgirpur (Meerut, Hindon river)."
" Q.8. Iron age is so named because during this time iron mostly replaced _______ in implements and weapons, beginning in the Middle East and South-eastern Europe. SSC CGL 27/07/2023 (2nd shift) ","['(a) wood ', '(b) brass ', '(c) bronze ', '(d) stone ']",(c) bronze ,"Sol.8.(c) Bronze. The Iron Age is the final period of the three-age division of the prehistory of humanity. It was i ntroduced after the Stone Age (Paleolithic, Mesolithic, Neolithic) and the Bronze Age."
" Q.9. In 1948, Ernest Mackay mentioned that in the Harappan city of Lothal, the drains for the drainage system were made of______________ bricks. Matric Level 28/06/2023 (Shift - 4) ","['(a) red ', '(b) burnt ', '(c) mud ', '(d) sandstone ']",(b) burnt ,"Sol.9.(b) Burnt. Lothal is located near the Gulf of Cambay/ Gulf of Khambhat in Gujarat, on the bank of river Bhogavo, tributary of Sabarmati."
 Q.10. Pottery was fi rst traceable to which period of ancient Indian history? Matric Level 28/06/2023 (Shift - 4) ,"['(a) Chalcolithic ', '(b) Palaeolithic ', '(c) Neolithic ', '(d) Mesolithic ']",(c) Neolithic ,"Sol.10.(c) Neolithic. Pottery has been discovered in the early villages of Mehrgarh. The Palaeolithic (the first and longest part of the Stone Age) was a period of prehistory when humans made stone tools. Mesolithic (microliths) was the period between the Paleolithic and Neolithic periods of the Stone Age. Q .11. The prehistoric period in the early development of human beings is commonly known as the _________. SSC MTS 02/05/2023 (Afternoon) (a) Old stone age (b) Mesolithic age (c) Iron age (d) New stone age Sol.11.(a) Old stone age. Old stone age also known as the Paleolithic Period. Tools - handaxes, choppers a nd cleavers. The earliest lower Palaeolithic site - Bori (Maharashtra). Mesolithic age - Sites - Gujarat (Langhnaj), Rajasthan (Bhilwara, Bagor), Uttar Pradesh (Damdama, Chopani Mando), Madhya Pradesh (Pachmarhi, Bhimbetka), Karnataka (Sanganakallu). New stone age also known as Neolithic age . Tools - Weapons made of bones - needles, arrowheads, etc. Sites - Burzahom (Kashmir), Chirand (Bihar), Mehrgarh (Balochistan)."
" Q.12. The ancient city of Dholavira, is located in which state? SSC MTS 10/05/2023 (Evening) ","['(a) Madhya Pradesh ', '(b) Rajasthan ', '(c) Karnataka ', '(d) Gujarat ']",(d) Gujarat ,"Sol.12.(d) Gujarat. Dholavira : It was discovered in 1968 by J.P. Joshi in Rann of Kachchh in Gujarat. It is situated on the banks of river Luni. It has a fortified citadel, and a lower town with walls made of sandstone or limestone. The first astronomical observatory of the Harappan Civilization is located in Dholavira."
" Q.13. In India, the practice of erecting megaliths began about __________ ago. SSC MTS 15/05/2023 (Evening) ","['(a) 3000 years ', '(b) 2000 years ', '(c) 500 years ', '(d) 1000 years ']",(a) 3000 years ,"Sol.13.(a) 3000 years. A megalith is a large stone that has been used to construct a pre - historic structure or monument. Type - Clairn Circles type of Megalith (grave/memorial) were the stone pieces set in a circular shape around the grave. Menhir (standing stone), Capstone (Single megaliths placed horizontally over burial chambers ) , Dolmen (A l arge capstone on two or more support stones creating a chamber). Megalith Sites - Nilaskal (Karnataka), Hanamsagar (Karnataka), Junapani (Maharashtra), Hire Benakal (Karnataka), etc."
 Q.14. Which of the following ancient sites is NOT situated in India? SSC MTS 19/05/2023 (Morning) ,"['(a) Hunsgi ', '(b) Hallur ', '(c) Inamgaon ', '(d) Mehrgarh ']",(d) Mehrgarh ,"Sol.14.(d) Mehrgarh - It is a Neolithic Archeological Site, l ocated on the Bolan river (bolan pass) in Balochistan (Pakistan), Discovered by - French Archaeologist Jean Francois Jarrige (1974). Findings: The earliest known center of agriculture in South Asia; First evidence of Cotton; Early Beadmakers; Shell Trade and Shell Working. Hunsgi - It is a Paleolithic Site, Located in Yadgir (Karnataka). Hallur - It belongs to the earliest Iron Age Site (Neolithic), Location - Bank of River Tungabhadra (Karnataka). Inamgaon - It is a post -Harappan agrarian village and archaeological site located in Maharashtra (situated on Ghod river)."
 Q.15. Mohenjodaro belongs to which of the following civilizations. SSC MTS 13/06/2023 (Evening) ,"['(a) Maya civilization ', '(b) Indus Valley civilization ', '(c) Mesopotamian civilization ', '(d) Egyptian civilization ']",(b) Indus Valley civilization ,"Sol.15.(b) Indus Valley civilization. Mohenjo-Daro (Mound of the Dead Men) - Excavated by R. D Banerjee in 1922. Evidence - Great bath, Granary, Unicorn Seals (Most numbers of it in here), Bronze dancing girl statue, Pashupati Seals, Steatite statue of beard man. Important Sites in India : Rajasthan (Kalibangan), Gujarat (Lothal, Dholavira, Rangpur, Surkotada), Haryana (Banawali), Punjab (Ropar). In Pakistan - Harappa (on river Ravi), Mohenjodaro (on the bank of the Indus River in Sindh), and Chanhudaro (in Sindh)."
 Q.16. Cotton was probably grown at Mehrgarh from about ________. SSC MTS 14/06/2023 (Evening) ,"['(a) 7000 years ago ', '(b) 8000 years ago ', '(c) 6000 years ago ', '(d) 5000 years ago ']",(a) 7000 years ago ,Sol.16.(a) 7000 years ago. It is the oldest agricultural settlement in the Indian subcontinent.
 Q.17. Which of the following Harappan town was located on Khadir Beyt in the Runn of Kutch and was d ivided into three parts? SSC CHSL 14/03/2023 (4th Shift) ,"['(a) Sotka - koh ', '(b) Chanhudaro ', '(c) Surkotada ', '(d) Dholavira ']",(d) Dholavira ,"Sol.17.(d) Dholavira. Discovered in 1968 by archaeologist Jagat Pati Joshi. Fifth largest metropolis of Indus Valley Civilization, 40th Indian site on UNESCO’s World Heritage list. Surkotada: Discovered in 1964-68 b y Jagat Pati Joshi, located in northeast Bhuj in Gujarat. Chanhudaro: Discovered in 1931 by N. G. Majumdar, located in Sindh, Pakistan. Sotka koh - Discovered by George F. Dales, located on the Makran coast, near the city of P asni, Balochistan (Pakistan)."
" Q.18. Bhimbetka, a noted site of the Palaeolithic period, is located in which state of India? SSC CGL Tier II 02/03/2023 ","['(a) Bihar ', '(b) Uttar Pradesh ', '(c) Rajasthan ', '(d) Madhya Pradesh ']",(d) Madhya Pradesh ,"Sol.18.(d) Madhya Pradesh. Bhimbetka Rock Paintings (UNESCO World Heritage Site, 2003) is located in the Vindhya ranges of Madhya Pradesh. It was discovered by V. S. Wakankar in 1957 . The paintings at Bhimbetka belong to the Upper Paleolithic, Mesolithic, Chalcolithic, early historic, and medieval periods. The complex is surrounded by the Ratapani Wildlife Sanctuary."
" Q.19. In which of the following Indian states, Harappan cities have NOT been found? SSC CGL 01/12/2022 (1st Shift) ","['(a) Uttarakhand ', '(b) Gujarat ', '(c) Rajasthan ', '(d) Haryana ']",(a) Uttarakhand ,"Sol.19.(a) Uttarakhand. Harappan sites - Gujarat (Lothal, Dholavira, Babar Kot, Bhagatrav, Desalpur, Gola Dhoro, Kaj, Kanjetar, Khirasara, Kotada Bhadli, Kuntasi, Loteshwar, etc), Rajasthan (Baror, Kalibangan, and Karanpura), Haryana (Balu, Rakhigarhi, Banawali, Bhirrana, Farmana, Hisar mound, Jogna Khera, Kunal, Mitathal, Tigrana, etc)."
 Q.20. During which of the following period Ostriches were found in India? SSC CGL 02/12/2022 (3rd Shift) ,"['(a) Mesolithic ', '(b) Chalcolithic ', '(c) Neolithic ', '(d) Palaeolithic ']",(d) Palaeolithic ,"Sol.20.(d) Palaeolithic age . Large quantities of ostrich egg shells found at Patne, Maharashtra."
 Q.21. In which of the following sites of jadeite stone was found? SSC CGL 03/12/2022 (3rd Shift) ,"['(a) Mahagara ', '(b) Mehrgarh ', '(c) Hallur ', '(d) Daojali Hading ']",(d) Daojali Hading ,"Sol.21.(d) Daojali Hading - A neolithic site in Dima Hasao District of Assam. Situated near Brahmaputra valley close to routes leading into China and Myanmar. Artifacts found - Jadeite stone (must have been transported from China). 4 types of c eramic - cord-marked, incised, stamped, and plain fine red ware."
 Q.22. In which among the following periods Catal Huyuk was o ne of t he most famous sites? SSC CGL 05/12/2022 (2nd Shift) ,"['(a) Neolithic ', '(b) Mesolithic ', '(c) Palaeolithic ', '(d) Chalcolithic ']",(a) Neolithic ,"Sol.22.(a) Neolithic. Catal Huyuk site located near the modern city of K onya i n south central Turkey. Features - substantial size and great longevity of the settlement, distinctive layout of back-to-back houses with roof access. Neolithic sites in India - Marakdola, Daojali Hading and Sarutaru in Assam."
" Q.23. According to the archaeologists, in Harappan cities the part to the west was smaller and higher, was known as ___________. SSC CGL 06/12/2022 (1st Shift) ","['(a) citadel ', '(b) Olympus ', '(c) lower town ', '(d) colosseum ']",(a) citadel ,"Sol.23.(a) Citadel. Chanudaro was the only Harappan city without a Citadel. Important Excavations : Harappa (by Daya Ram Sahni in 1921), Chanhudaro (by NG Majumdar in 1931) a nd Surkotada (by JP Joshi in 1964)."
 Q.24. Which of the following metals was used to make weapons and tools in Harappan cities? SSC CGL 06/12/2022 (4th Shift) ,"['(a) Silver ', '(b) Gold ', '(c) Copper ', '(d) Iron ']",(c) Copper ,"Sol.24.(c) Copper was the first metal used in Indus Valley (Bronze Age civilization) to make tools, utensils, and other objects. Other metals used were lead, gold, bronze and silver ."
 Q.25. The Harappan brought Gold from present-day _______ in India. SSC CGL 08/12/2022 (4th Shift) ,"['(a) Telangana ', '(b) Tamil Nadu ', '(c) Karnataka ( d) Kerala Sol.25.(c) Karnataka. Gold ornaments are found at both Mohenjo-daro and Harappa. Harappa - Bullock cart, Granaries, Coffin burials (Only founded i n Harappa), Terracotta figurines. Chanhudaro (only city without a citadel) - Bangle factory, Inkpot.', '']",,
 Q.26. Which of the following types of house remains were found in Mehrgarh site of Harappan civilization? SSC CGL 09/12/2022 (1st Shift) ,"['(a) Triangular or circular ', '(b) Rectangular or circular ', '(c) Square or rectangular ', '(d) Circular or square ']",(c) Square or rectangular ,"Sol.26.(c) Square or rectangle. Major findings at Mehrgarh are evidence of animal bones and the remains of h ouses. Mehrgarh was discovered in 1974 by Jean-Francois Jarrige. It is the first place where people started growing barley and wheat, reared the sheep and goat as it was one of the oldest villages."
