question,options,answer,solution
 Q.1. Which of the following is the Fundamental Law of any country which sets out the framework and the principal functions of various organs of the government ? SSC MTS 08/09/2023 (3rd Shift) ,"['(a) Customs ', '(b) International Law ', '(c) Constitution ', '(d) Ordinance ']",(c) Constitution ,"Sol.1.(c) Constitution is a legal, political, and social instrument. Legally, it enshrines human rights and creates a predictable legal landscape. Politically, it establishes, d istributes and limits governmental power. Socially, it reflects a shared identity or civic vision of the state. Indian constitution (Adopted on 26 November 1949 and came into force on 26th January 1950) is the world's longest written constitution. 26th November is celebrated every year as Samvidhan Divas (Law Day or Constitution Day) in India."
 Q.2. Who among the following personalities was appointed as the legal advisor of the Constituent Assembly that drafted the document of the Constitution? SSC CHSL 02/08/2023 (4th shift) ,"['(a) HVR Iyengar ', '(b) SN Mukherjee ', '(c) BR Ambedkar ', '(d) BN Rau ']",(d) BN Rau ,"Sol.2.(d) BN Rau. On 9 December 1946, the Constituent Assembly of India met for the first time. Temporary President - Dr. Sachchidananda Sinha. President of the Assembly - Dr. Rajendra Prasad. Vice-President of the Assembly - H C Mukherjee. The Constituent Assembly had a total of 389 members."
 Q.3. Which of the following words was NOT a part of the original Preamble of the Indian Constitution? SSC CHSL 02/08/2023 (4th shift) ,"['(a) Democratic ', '(b) Republic ', '(c) Secular ', '(d) Sovereign ']",(c) Secular ,"Sol.3.(c) Secular - All religions are treated equally by the government. It was added in the Preamble by 42 nd Amendment, 1976. Democratic : the government is elected by the people. Republic : the head of state is an elected president . Sovereign : independent and not subject to the control of any other country."
 Q.4. Which of the following noble ideals is mentioned in the Preamble of the Indian Constitution? SSC CHSL 03/08/2023 (2nd shift) ,"['(a) Liberty of expression, civil, political, worship and belief ', '(b) Liberty of thought, expression, belief, faith and worship ', '(c) Liberty of belief, fiscal, personal, faith and worship ', '(d) Liberty of opportunity, economic, social, faith and expression ']","(b) Liberty of thought, expression, belief, faith and worship ","Sol.4.(b) Preamble basically gives ideas - Source of the Constitution, Nature of Indian State, Statement of its objectives, Date of its adoption. Preamble declares India to be a sovereign, socialist, secular and democratic republic. The Objective Resolution of the Indian Constitution contained the fundamental propositions of the constitution and laid down the political ideas, which w as a dopted by the Constituent Assembly on January 22, 1947."
 Q.5. Which of the following is NOT a political philosophy of the Indian Constitution? SSC CHSL 04/08/2023 (2nd shift) ,"['(a) Sensitive for the historically disadvantaged groups ', '(b) Open to community values ', '(c) Sensitive to the needs of religious and linguistic minorities ', '(d) Non-committal to building a common national identity ']",(d) Non-committal to building a common national identity ,"Sol.5.(d) The philosophy of the Indian Constitution is based on the principles of secularism, democracy, social justice, fundamental rights, and directive principles of state policy. The philosophical postulates of the Constitution of India are based on - Objective Resolution of Pandit Nehru which was moved in the first session of the constituent assembly on 13 Dec 1946."
 Q.6. Which of t he following words is NOT mentioned in the Indian Constitution? SSC CHSL 04/08/2023 (3rd shift) ,"['(a) Secular ', '(b) Republic ', '(c) Federalism ', '(d) Socialist ']",(c) Federalism ,Sol.6.(c) Federalism - A system of government in which powers have been divided between the centre and its constituent parts such as states or provinces. Republic - The head of the state is elected by the people of the country. Socialist - A democratic socialism where both public and private sectors function together towards socialist goals.
 Q.7. The original Constitution of India was hand written in English by: SSC CHSL 07/08/2023 (3rd shift) ,"['(a) HVR Iyenger ', '(b) Prem Behari Narayan Raizada ', '(c) Vasant Krishan Vaidya ', '(d) SN Mukherjee ']",(b) Prem Behari Narayan Raizada ,Sol.7.(b) Prem Behari Narayan Raizada - The calligrapher of the Indian Constitution. The original constitution was handwritten by him in a flowing i talic style.
 Q.8. Who among the following personalities was the chief draftsman of the constituent assembly that drafted the document of the Constitution? SSC CHSL 07/08/2023 (3rd shift) ,"['(a) KM Munshi ', '(b) Vasant Krishan Vaidya ', '(c) SN Mukherjee ', '(d) HVR Iyenger ']",(c) SN Mukherjee ,"Sol.8.(c) SN Mukherjee. The drafting committee was formed under the chairmanship of Dr B R Ambedkar by the Constituent Assembly on 29th August 1947. The other six members of the committee were K.M. Munshi, Muhammed Sadullah, Alladi Krishnaswamy Iyer, N. Gopalaswami Ayyangar, Devi Prasad Khaitan and BL Mitter."
 Q.9. Which of the following is an incorrect statement in regard to the meaning of ‘Union of S tates’ in the Indian context? SSC CHSL 08/08/2023 (2nd shift) ,"['(a) Country was divided into different states for administrative convenience. ', '(b) The Indian federation was the result of an agreement by sovereign units to join it. ', '(c) Enumerates the power of the centre and states through various lists. ', '(d) Federation not being the result of agreement, no state has a right to secede from it. ']",(b) The Indian federation was the result of an agreement by sovereign units to join it. ,"Sol.9.(b) Federalism is a system of government in which t he power is divided between a central authority and various constituent units of the country. Article 1(1) of t he Constitution of I ndia says that India, that is Bharat, shall be a Union of States. In India, the component units have no freedom to secede from the federation. Dr. B R Ambedkar called India as an indestructible Union of d estructible states (the Central Government can change the name, boundaries of the states without their permission)."
 Q.10. Who among the following wrote in calligraphic style the Hindi version of t he original Indian Constitution? SSC CHSL 10/08/2023 (2nd shift) ,"['(a) SN Mukherjee ', '(b) Prem Behari Narain Raizada ', '(c) Vasant Krishan Vaidya ', '(d) Nand Lal Bose ']",(c) Vasant Krishan Vaidya ,Sol.10.(c) Vasant Krishan Vaidya. The original version of the constitution was beautified and decorated by artists from Shantiniketan including Nand Lal Bose and Beohar Rammanohar Sinha.
