question,options,answer,solution
 Q.1. Sattriya dance form is famous in which of these states? SSC Stenographer 12/10/2023 (Morning) ,"['(a)Assam ', '(b)Himachal Pradesh ', '(c)Punjab ', '(d)Tamil Nadu ']",(a)Assam ,"Sol.1.(a) Assam. Sattriya dance originated in Sattra, a monastery, as a part of the neo-Vaishnavite movement started by Srimanta Sankardev. Sattriya was given the status of a classical dance in the year 2000 by the Sangeet Natak Akademi. The dance styles of Sattriya are Paurashik Bhangi (male style) and Stri Bhangi (female style). Folk dances of Assam: Bihu, Bagurumba, Deodhani, Bhortal dance."
 Q.2. Which of t he following statements is true? Statement I: Indian techniques such as Rasa and Bhawa in classical dances have their origins in Bharatmuni’s Natyashastra. Statement II: Bharatanatyam has its origin in Odisha. SSC Stenographer 12/10/2023 (Morning) ,"['(a)Only Statement II is true. ', '(b)Both Statement I and Statement II are true. ', '(c)Neither Statement I nor Statement II is true. ', '(d)Only Statement I is true. ']",(d)Only Statement I is true. ,"Sol.2.(d) Bharatanatyam is a classical dance form that originated in Tamil Nadu. The Indian classical dances have two basic aspects - Tandava (movement and rhythm) and Lasya ( grace, bhava and rasa) and three main components - Natya (the dramatic element of the dance); Nritta (the dance movements in their basic form); Nritya (expressional component i.e. mudras or gestures)."
 Q.3. When was Bharatanatyam banned by the British colonial government ? SSC Stenographer 12/10/2023 (Afternoon) ,"['(a)1885 ', '(b) 1910 ', '(c) 1897 ', '(d) 1927 ']",(b) 1910 ,"Sol.3.(b) 1910. Bharatanatyam (Tamil Nadu): It traces its origins back to the Natyashastra, an ancient treatise on theatre written by the mythic priest Bharata. Features :- It encompasses Bhav, Rag, Ras and Taal. It consists of s ix portions: Alarippu (Invocation), Jathiswaram (Nritta part), Shabdam (Short compositions with word), Varnam (a story, that includes both Nritta and Nritya), Padam (Religious prayer, Bhajan, Keerthanam) and Tillana (Origin in the Tarana of Hindustani Music)."
 Q.4. Which of the following is a folk dance from the state of Maharashtra? SSC Stenographer 13/10/2023 (Morning) ,"['(a)Ghoomar ', '(b)Bhangra ', '(c)Garba ', '(d)Dhangari Gaja ']",(d)Dhangari Gaja ,"Sol.4.(d) Dhangari Gaja. States and their folk dances: Maharashtra - Lavani, Powada dance, Koli, Waghya Murali. Gujarat - Dandiya Raas, Tippani, Bhavai, Garba, Daang. Rajasthan - Ghoomar, Bhavai, Kalbelia, Terah Taali. Punjab - Bhangra, Giddha, Luddi, Julli."
 Q.5. What is a one act play of Sattriya called? SSC Stenographer 13/10/2023 (Afternoon) ,"['(a)Ekam Nat ', '(b)Vishesham Nat ', '(c)Anant Nat ', '(d)Ankiya Nat ']",(d)Ankiya Nat ,"Sol.5.(d) Ankiya Nat: It is a form of Sattriya that involves musical drama or play. It was i nitially written in Brajavali, an Assamese-Maithili hybrid language. It's also known as 'Bhaona,' and it tells stories about Lord Krishna. The Sattriya dance form was introduced in 15th century AD by Mahapurusha Sankaradeva in the state of Assam."
 Q.6. The origin of most of the classical dance forms of India is _____. SSC Stenographer 13/10/2023 (Afternoon ) ,"['(a)Yajur Veda ', '(b) Arth Shastra ', '(c)Atharva Veda ', '(d) Natya Shastra ']",(d) Natya Shastra ,Sol.6.(d) Natya Shastra. Natya Shastra (Sanskrit text on dance art and music): Compiled by Bharat Muni. The text consists of 36 chapters with a cumulative total of 6000 poetic verses describing performance arts.
 Q.7. Bhutia dance is performed in which of the following states? SSC CPO 03/10/2023 (Morning) ,"['(a)Nagaland ', '(b)Odisha ', '(c)West Bengal ', '(d) Sikkim ']",(d) Sikkim ,"Sol.7.(d) Sikkim. Other dances: Sikkim - Singhi Chham, Tamang Selo, Sherpa Dance, Ghantu, Gayley-Yang Dance, Sangey Chham Dance and Chu Faat. West Bengal - Purulia Chhau, Baul, and Gambhira. Odisha - Gotipua D ance, D hap, and Paika. Nagaland - Modse, Agurshikukula, Aaluyattu, Sadal Kekai, and Changai Dance."
 Q.8. Which dance form of Goa is also known as the ‘Warrior Dance’? SSC CPO 03/10/2023 (Afternoon) ,"['(a)Lavani ', '(b)Ghode Modni ', '(c)Bihu ', '(d)Rauf ']",(b)Ghode Modni ,"Sol.8.(b) Ghode Modni - It is a dance commemorating the Maratha rulers and warriors of t he past. Other dances of G oa : Tarangamel, Dekhni, Fugdi, Shigmo, Samayi nrutya, Ranmale, Gonph, Tonnya mell."
 Q.9. Which of the following dances is based on Rasleela themes of Radha and Krishna? SSC CPO 03/10/2023 (Afternoon) ,"['(a)Mohiniyattam ', '(b) Kathak ', '(c)Sattriya dance ', '(d) Manipuri dance ']",(d) Manipuri dance ,"Sol.9.(d) Manipuri dance. Classical dances of India : Bharatanatyam (Tamil Nadu), Manipuri (Manipur), Kathak (Northern India), Odissi (Odisha), Kathakali (Kerala), Mohiniattam (Kerala), Kuchipudi (Andhra Pradesh), Sattriya (Assam)."
 Q.10. Sattriya was recognised in______ as a Classical Dance by Sangeet Natak Akademi. SSC CPO 03/10/2023 (Evening) ,"['(a)2005 ', '(b) 2000 ', '(c) 2020 ', '(d) 2010 ']",(b) 2000 ,"Sol.10.(b) 2000. The primary accompanying instruments for this dance genre include the khol (drum), manjira (cymbals), and flute. Songs: S hankaradeva's 'Borgeets.'"
